Study Accession	Suppl Concept	Modifier	Disease Background/Stratification, Phenotype/Biomarker, Treatment Response/Side_Effect or Interactions
GCST002721		biomarker	trans fatty acid (trans-18:1, trans/cis-18:2)
GCST002721		biomarker	trans fatty acid (trans/cis-18:2)
GCST002721		biomarker	trans fatty acid (trans/trans-18:2)
GCST002722		side effect	heparin
GCST002723		phenotype	urgency
GCST002724		background	chronic obstructive pulmonary disease
GCST002725		background, phenotype	pneumonia, survival time
GCST002726		phenotype	glucose effectiveness
GCST002726		phenotype	insulin response
GCST002726		phenotype	insulin sensitivity
GCST002727		phenotype	survival time
GCST002727		survival	
GCST002729		background	crohn's disease
GCST002729		phenotype	perianal
GCST002729		phenotype	stricture
GCST002731		phenotype	endothelial growth factor, angiopoietin-2 receptor
GCST002731		phenotype	endothelial growth factor, hepatocyte growth factor
GCST002734		interaction, biomarker	smoking status, alcohol consumption or body mass index, fibrinogen
GCST002736		biomarker	b-type natriuretic peptide
GCST002739		interaction	household air pollution
GCST002743		background	hiv-infection
GCST002744		background, biomarker	hiv-infection, hdl
GCST002745		background	hiv-1 infection (continuous)
GCST002746		biomarker	lipoprotein a
GCST002747		response	dalcetrapib
GCST002749		response	homoharringtonine
GCST002751		phenotype	spontaneous preterm birth
GCST002753		background	familial
GCST002754		response, phenotype	inhaled glucocorticoid, change in fev1
GCST002755		interaction	ssri exposure
GCST002756		phenotype	subcortical brain region volumes
GCST002757		biomarker	immunoglobulin g index levels
GCST002758		phenotype	oligoclonal band status
GCST002760		phenotype	hippocampal atrophy
GCST002761		phenotype	hippocampal volume
GCST002762		phenotype	optic cup area
GCST002763		phenotype	optic disc area
GCST002764		phenotype	optic cup area
GCST002765		phenotype	optic disc area
GCST002766		phenotype	exudative
GCST002768		phenotype	behavioral disinhibition
GCST002769		response	abacavir-containing treatment in hiv-1 infection (virologic failure)
GCST002771		response	efavirenz-containing treatment in hiv 1 infection (virologic failure)
GCST002774		phenotype	cognitive function
GCST002775		phenotype	survival time
GCST002777		side effect	clozapine
GCST002778		phenotype	lewy body
GCST002779		side effect	cold medicine, severe mucosal involvement
GCST002780		side effect	cisplatin for brain tumor
GCST002782			bmi adjusted
GCST002784		response	hydrochlorothiazide
GCST002786		background	lung tissue
GCST002792		side effect	vincristine for acute lymphoblastic leukemia
GCST002793		response	vein graft stenosis in coronary artery bypass grafting
GCST002796		response	bronchodilator
GCST002797		background	chronic obstructive pulmonary disease
GCST002798		phenotype	chronic obstructive pulmonary disease
GCST002799		phenotype	number of pregnancies
GCST002800		phenotype	number of children (6+ vs. 0 or 1)
GCST002801		phenotype	number of children
GCST002802		phenotype	white wine liking
GCST002803		phenotype	red wine liking
GCST002804		phenotype	seropositive for chlamydia pneumoniae
GCST002804		phenotype	seropositive for cytomegalovirus
GCST002804		phenotype	seropositive for herpes virus
GCST002804		phenotype	seropositive for human herpesvirus 8
GCST002804		phenotype	seropositive for influenza a
GCST002811		phenotype	nonsyndromic cleft lip with or without cleft palate
GCST002812		interaction	seropositive for cytomegalovirus
GCST002812		interaction	seropositive for herpes simplex virus 1
GCST002812		interaction	seropositive for toxoplasma gondii
GCST002813		background	apoe e4+ carriers
GCST002814		interaction	apoe carrier
GCST002815		interaction	seropositive for cytomegalovirus
GCST002815		interaction	seropositive for herpes simplex virus 1
GCST002816		interaction	aspirin and/or nsaid use
GCST002816		interaction or exposure	aspirin/NSAID
GCST002817		background	apoe e4- carriers
GCST002818		phenotype	susceptibility
GCST002820		phenotype	microsatellite instability low/stable
GCST002820		survival	
GCST002821		phenotype	survival
GCST002821		survival	
GCST002822		phenotype	survival
GCST002822		survival	
GCST002826		interaction, biomarker	bmi, urate
GCST002827		interaction, biomarker	bmi, urate
GCST002828		background, phenotype	obese individuals, urate levels
GCST002829		background	overweight individuals, urate
GCST002830		background	lean individuals, urate
GCST002831		biomarker	lead levels
GCST002833		response	platinum-induced myelosuppression in non-small cell lung cancer
GCST002833		treatment side effect	non-small-cell lung cancer patients - platinum-based chemotherapy (myelosuppression)
GCST002834		phenotype	corneal curvature
GCST002836		phenotype	axial length
GCST002837		side effect	steroid treatment (triamcinolone acetonide)
GCST002839		phenotype	polychlorinated biphenyl levels
GCST002843		phenotype	sitting height ratio
GCST002847		phenotype	survival
GCST002847		survival	
GCST002850		phenotype	information processing speed
GCST002851		phenotype	tae-yang
GCST002852		phenotype	so-yang
GCST002853		phenotype	tae-eum
GCST002854		phenotype	so-eum
GCST002855	C563236	background	testicular germ cell tumor
GCST002855	C563236	stratified	testicular germ cell tumor
GCST002856		interaction, phenotype	sex, intima media thickness
GCST002857		biomarker	calcium level
GCST002858		response, biomarker	interleukin-6, response to corticosteroid, response to cytokine
GCST002859		response, biomarker	interleukin-6, response to cytokine
GCST002860		biomarker	magnesium
GCST002861		background	er-negative
GCST002861		phenotype	er-positive, survival time
GCST002861		phenotype	survival time
GCST002861		survival	
GCST002862		phenotype	prion disease
GCST002863		background	prion disease
GCST002864		background	prion disease
GCST002865		response, biomarker	statin, ldl
GCST002866		background	prion disease
GCST002867		background	prion disease
GCST002868		response	serotonin reuptake inhibitors
GCST002869		response	anti-tnf therapy (adalimumab, etanercept or infliximab)
GCST002870		biomarker	ldl subfractions
GCST002871		phenotype	prion disease
GCST002872		biomarker	mannose, blood metabolite
GCST002872		biomarker	metabolite levels
GCST002872		biomarker	urate
GCST002875		side effect	diisocyanate
GCST002876		phenotype	type 1 diabetes
GCST002878		phenotype	sporadic
GCST002881		biomarker	adamts13
GCST002882		drug metabolism	ticagrelor levels in acute coronary syndromes
GCST002883		drug metabolism	ticagrelor for acute coronary syndrome
GCST002885		drug metabolism	pharmacokinetics of olanzapine in severe mental disorder (concentration dose ratio)
GCST002886		phenotype	aggressiveness
GCST002887		drug metabolism	pharmacokinetics of antiepileptic drugs in severe mental disorder (concentration drug ratio)
GCST002888		drug metabolism	pharmacokinetics of antipsychotic drugs in severe mental disorder (concentration drug ratio)
GCST002890		stratified	aggessiveness
GCST002891		drug metabolism	pharmacokinetics of antidepressant drugs in severe mental disorder (concentration dose ratio)
GCST002892		background	coronary artery bypass surgery
GCST002893		interaction	age
GCST002896		biomarker	total cholesterol
GCST002897		biomarker	triglyceride
GCST002898		biomarker	ldl
GCST002899		biomarker	hdl
GCST002900		side effect	adult survivors of childhood cancer exposed to cranial radiation
GCST002900		treatment side effect	childhood cancer - cranial radiation (obesity)
GCST002901		response, phenotype	endocrine treated, er-positive, survival time
GCST002901		treatment response	endocrine therapy
GCST002902		background	er-negative
GCST002903		phenotype	er-positive, survival time
GCST002904		associated disease	adult survivors of childhood cancer
GCST002904		background	adult survivors of childhood cancer not exposed to cranial radiation
GCST002905		background	healthy individuals
GCST002906		phenotype	skin colour saturation
GCST002907		phenotype	perceived skin darkness
GCST002908		phenotype	skin sensitivity to sun
GCST002910		response	interferon beta
GCST002911		biomarker	calcium level
GCST002912		phenotype	narcolepsy with cataplexy
GCST002913		background	type 1 autoimmune pancreatitis
GCST002915		side effect	peg-asparaginase for acute lymphoblastic leukemia
GCST002916		phenotype	initiation
GCST002917		phenotype	age at onset
GCST002918		side effect	lapatinib
GCST002922		associated disease	monoclonal gammopathy
GCST002922		phenotype	monoclonal gammopathy
GCST002923		side effect	paclitaxel
GCST002924		side effect	paclitaxel
GCST002924		treatment side effect	paclitaxel (sensory peripheral neuropathy)
GCST002925		biomarker	dehydroepiandrosterone sulphate
GCST002925		biomarker	estradiol
GCST002925		biomarker	follicle stimulating hormone
GCST002925		biomarker	free androgen index
GCST002925		biomarker	luteinizing hormone
GCST002925		biomarker	progesterone
GCST002925		biomarker	sex hormone-binding globulin
GCST002925		biomarker	testosterone
GCST002926		background	asthma (oral corticosteroid dose interaction)
GCST002927		biomarker	mercury levels
GCST002928		biomarker	nickel levels
GCST002929		biomarker	chromium levels
GCST002930		biomarker	cobalt levels
GCST002931		biomarker	aluminium levels
GCST002932		biomarker	manganese levels
GCST002933		biomarker	magnesium
GCST002934		biomarker	zinc levels
GCST002935		biomarker	lead levels
GCST002936		biomarker	cadmium levels
GCST002937		biomarker	molybdenum levels
GCST002938		biomarker	copper levels
GCST002939		phenotype	platelet aggregation
GCST002940		background	sporadic adenoma
GCST002940		stratified	sporadic adenoma
GCST002942		phenotype	gas trapping
GCST002946		response	vancomycin, trough
GCST002947		response	vancomycin
GCST002948		side effect, biomarker	vancomycin therapy, creatinine
GCST002949		side effect	lamotrignine for epilepsy
GCST002951		interaction, response	zileuton treatment
GCST002952		phenotype	pediatric bone mineral content (radius)
GCST002953		phenotype	radius, pediatric
GCST002954		phenotype	late onset
GCST002955		interaction, phenotype	occupational environmental exposures (biological dust), fev1
GCST002955		interaction, phenotype	occupational environmental exposures (gases and fumes), fev1
GCST002955		interaction, phenotype	occupational environmental exposures (mineral dust), fev1
GCST002956		biomarker	3-hydroxypropylmercapturic acid levels
GCST002957		biomarker	3-hydroxy-1-methylpropylmercapturic acid levels
GCST002958		background	allogeneic hematopoietic stem cell transplantation
GCST002959		biomarker	hexose levels
GCST002961		biomarker	acylcarnitine
GCST002962		phenotype	exacerbations
GCST002964		biomarker	sphingolipid
GCST002965		biomarker	glycerophospholipid
GCST002966		biomarker	amino acid levels
GCST002967		background	mucinous adenocarcinoma
GCST002967		stratified	mucinous adenocarcinoma
GCST002968		side effect	stavudine for hiv
GCST002969		phenotype	suicide behaviour
GCST002970		phenotype	corticobasal degeneration
GCST002971		phenotype	corticobasal degeneration
GCST002972		background	major depressive disorder
GCST002974		background	major depressive disorder
GCST002975		side effect	coronary artery bypass grafting surgery
GCST002976		phenotype	setpoint viral load
GCST002977		biomarker	srage measurement
GCST002978		associated disease	in osteosarcoma
GCST002978		background	osteosarcoma
GCST002979		response, phenotype	montelukast, change in fev1
GCST002980		phenotype	arterial stiffness (pulse-wave velocity)
GCST002982		side effect, biomarker	coronary artery bypass surgery, creatinine rise
GCST002983		phenotype	late onset
GCST002984		phenotype	early childhood
GCST002985		phenotype	middle childhood and early adolescence
GCST002986		phenotype	childhood and early adolescence
GCST002989		interaction	total fat intake
GCST002990		stratified	adenocarcinoma
GCST002993		side effect	platinum-based chemotherapy for nsclc
GCST002994		phenotype	ear protrusion
GCST002996		phenotype	folding of antihelix
GCST002997		phenotype	helix rolling
GCST002998		phenotype	lobe attachment
GCST002999		phenotype	lobe size
GCST003000		phenotype	darwin's tubercle
GCST003001		phenotype	ear morphology
GCST003002		phenotype	tragus size
GCST003003		phenotype	antitragus size
GCST003004		phenotype	crus helix
GCST003005		phenotype	superior crus of antihelix expression
GCST003007		background	non-cardia
GCST003007		stratified	non-cardia
GCST003008		side effect	triptolide
GCST003008		side effect	triptolide for aggression
GCST003009		background	cardia
GCST003009		stratified	cardia
GCST003013		phenotype	white matter hyperintensity burden
GCST003014		background, phenotype	high fat diet meal, postprandial triglyceride response to
GCST003016		background	bipolar disorder
GCST003018		side effect	thionamide for graves' disease
GCST003019		phenotype	black vs. non-black hair color
GCST003020		phenotype	red vs non-red hair color
GCST003021		phenotype	brown vs. non-brown hair color
GCST003022		phenotype	light vs. dark hair color
GCST003023		phenotype	blond vs non-blond hair color
GCST003024		phenotype	ultraviolet-induced skin pigmentation (minimal erythema dose)
GCST003025		biomarker	attention function
GCST003026		background	yu-zhi constitution type
GCST003027		side effect	angiotensin-converting enzyme inhibitor
GCST003028		biomarker	alpha-1-antitrypsin
GCST003030		biomarker	oppositional defiant disorder dimensions
GCST003031		background	smokers
GCST003032		phenotype	hearing function (2 khz)
GCST003033		phenotype	medium tone
GCST003034		phenotype	hearing function (8 khz)
GCST003035		phenotype	hearing function (4 khz)
GCST003036		phenotype	low tone
GCST003037		phenotype	hearing function (0.5 khz)
GCST003039		phenotype	hearing function (0.25 khz)
GCST003040		phenotype	high tone
GCST003041		phenotype	hearing function (1 khz)
GCST003042		background, phenotype	type 2 diabetes, sight-threatening
GCST003046		side effect	trichloroethylene
GCST003047		background	down syndrome
GCST003049		interaction	asbestos exposure
GCST003051		phenotype	survival
GCST003051		survival	
GCST003057		interaction, phenotype	chemotherapy, metastatic
GCST003057		treatment response stratified	metastatic - chemotherapy
GCST003058		response, phenotype	capox-b vs capox-b plus cetuximab, metastatic
GCST003058		treatment response stratified	metastatic - CAPOX-B vs CAPOX-B plus cetuximab
GCST003060		background, phenotype	gba carrier, age of onset
GCST003061		background	cutaneous
GCST003061		stratified	cutaneous
GCST003062		side effect	anthracycline for childhood cancer
GCST003062		treatment side effect	childhood cancer - anthracycline (cardiotoxicity)
GCST003063		background	type 2 diabetes
GCST003064		phenotype	exploratory eye movement dysfunction (cognitive search score)
GCST003065		phenotype	exploratory eye movement dysfunction (responsive search score)
GCST003066		phenotype	exploratory eye movement dysfunction (total eye scanning length)
GCST003067		phenotype	exploratory eye movement dysfunction (mean eye scanning length)
GCST003068		phenotype	exploratory eye movement dysfunction (number of eye fixations)
GCST003069		interaction, phenotype	schizophrenia, left superior temporal gyrus thickness
GCST003070		biomarker	t-tau (csf)
GCST003071		biomarker	cerebrospinal p-tau181p levels
GCST003072		biomarker	cerebrospinal fluid ab1-42 levels
GCST003074		background	apoe e4 non-carriers
GCST003076		background, phenotype	apoee4 carriers, cerebral amyloid deposition
GCST003078		biomarker	cerebrospinal fluid p-tau181p:ab1-42 ratio
GCST003079		biomarker	t-tau:beta-amyloid 1-42 ratio (csf)
GCST003080		side effect	glucocorticoid for acute lymphoblastic leukemia
GCST003081		side effect, background	glucocorticoid for acute lymphoblastic leukemia, age 10 and older
GCST003082		phenotype	longitudinal change
GCST003083		side effect	glucocorticoid for acute lymphoblastic leukemia
GCST003084		side effect	glucocorticoid for acute lymphoblastic leukemia
GCST003085		response	warfarin maintenance dose
GCST003088		biomarker	il2ra, soluble
GCST003089		biomarker	manic episodes
GCST003090		background	bipolar disorder
GCST003091		background	bipolar disorder
GCST003093		phenotype	nicotine dependence
GCST003095		background, biomarker	adipoq, bmi-adjusted
GCST003096		biomarker	adipoq
GCST003097		phenotype	autoimmune thyroid disease, type i diabetes mellitus, common variable immunodeficiency, ankylosing spondylitis, psoriasis, celiac disease, ulcerative colitis, crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus
GCST003097		phenotype	autoimmune thyroid disease, type i diabetes mellitus, common variable immunodeficiency, psoriasis, ankylosing spondylitis, celiac disease, ulcerative colitis, crohn's disease, autoimmune disease, juvenile idiopathic arthritis, systemic lupus erythematosus
GCST003100		phenotype	survival time
GCST003100		survival	
GCST003101		phenotype	age at menarche, spine bmd
GCST003102		phenotype	hip bmd, age at menarche
GCST003105		phenotype	hip bmd
GCST003106		phenotype	spine bmd
GCST003107		response, phenotype	post-bronchodilator, fev1/fvc
GCST003108		side effect, interaction	antipsychotic drug, time
GCST003109		side effect	antipsychotic drug
GCST003110		response, phenotype	post-bronchodilator, fev1
GCST003111		phenotype	sleep duration
GCST003112		phenotype	sleep duration
GCST003113		phenotype	cingulate cortical amyloid beta load
GCST003114		phenotype	intima media thickness
GCST003118		response	serotonin reuptake inhibitors
GCST003119		biomarker	urinary metabolite
GCST003122		biomarker	fetal hemoglobin
GCST003122		biomarker	hemoglobin a1
GCST003122		biomarker	hemoglobin a2
GCST003123		phenotype	h1n1
GCST003124		phenotype	h1n1
GCST003125		phenotype	h1n1
GCST003126		phenotype	h1n1 severity
GCST003127		biomarker	lipoprotein a
GCST003131		background, phenotype	apoee4 carriers, cerebrospinal fluid clusterin
GCST003132		background	bipolar disorder
GCST003133		biomarker	clusterin in plasma
GCST003134		biomarker	clusterin (csf)
GCST003135		background	bipolar disorder
GCST003137		biomarker	cerebrospinal fluid clusterin levels
GCST003138		phenotype	juvenile
GCST003139		biomarker	glomerular filtration rate
GCST003141		biomarker	proteinuria
GCST003142		biomarker	proteinuria
GCST003143		background	cystic fibrosis
GCST003145		phenotype	severe
GCST003146		phenotype	postburn hypertrophic scarring severity
GCST003147		biomarker	lactate
GCST003149		phenotype	skin and soft tissue
GCST003151		phenotype	white matter lesion progression
GCST003152		phenotype	white matter lesion progression, white matter lesion burden at baseline adjusted
GCST003153		phenotype	alcohol related
GCST003157		biomarker	homocysteine
GCST003158		response	lithium treatment
GCST003159		response	lithium treatment
GCST003160		response	lithium treatment
GCST003161		response	lithium treatment
GCST003162		phenotype	visceral:subcutaneous adipose tissue ratio
GCST003163		phenotype	visceral:subcutaneous adipose tissue ratio, bmi adjusted
GCST003164		phenotype	subcutaneous adipose tissue
GCST003165		phenotype	subcutaneous adipose tissue, bmi adjusted
GCST003166		phenotype	visceral adipose tissue
GCST003167		phenotype	visceral adipose tissue, bmi adjusted
GCST003168		phenotype	total adipose tissue
GCST003169		phenotype	total adipose tissue, bmi adjusted
GCST003170		phenotype	subcutaneous adipose tissue
GCST003171		phenotype	visceral adipose tissue
GCST003172		phenotype	visceral adipose tissue, bmi adjusted
GCST003173		phenotype	visceral:subcutaneous adipose tissue ratio
GCST003177		background	childhood
GCST003178		response	immunochemotherapy for diffuse large b-cell lymphoma
GCST003180		phenotype	childhood onset asthma, atopic eczema, atopic march
GCST003181		phenotype	nasal carriage (intermittent)
GCST003182		phenotype	staphylococcus aureus nasal carriage
GCST003183		phenotype	setpoint viral load
GCST003185		phenotype	nicotine dependence
GCST003186		interaction, background	ace inhibitor, hypertension
GCST003187		interaction, background	ace inhibitor, hypertension
GCST003189		associated disease	hepatitis B
GCST003189		background	hepatitis b infection
GCST003191		biomarker	vitamin d
GCST003192		background	kawasaki disease
GCST003193		response	interferon beta
GCST003194		biomarker	fibrinogen
GCST003195		biomarker	magnesium
GCST003196		phenotype	calcaneal bone quantitative ultrasound measurement
GCST003197		phenotype	thoracic-to-hip circumference ratio
GCST003200		background	laparoscopic-assisted colectomy (first 24 hours)
GCST003201		interaction, background	beta blocker, hypertension
GCST003202		interaction, background	diuretic, hypertension
GCST003203		interaction, background	beta blocker, hypertension
GCST003204		interaction, background	diuretic, hypertension
GCST003205		interaction, background	calcium channel blocker, hypertension
GCST003206		interaction, background	calcium channel blocker, hypertension
GCST003207		interaction, response	exercise, triglyceride
GCST003208		multiple disease	or endometrial cancer
GCST003208		pleiotropy	endometrial cancer
GCST003209		multiple disease	or endometrial cancer
GCST003209		pleiotropy	endometrial cancer
GCST003210		biomarker	vwf
GCST003211		background	ischemic stroke
GCST003212		biomarker	fibrinogen
GCST003213		background	ischemic stroke
GCST003214		biomarker	total cholesterol
GCST003215		biomarker	hdl
GCST003216		biomarker	ldl
GCST003217		biomarker	triglyceride
GCST003218		background	non-cardia
GCST003218		stratified	non-cardia
GCST003221		background	summer
GCST003222		background	summer and winter
GCST003223		background	winter
GCST003224		response	anthracycline-based chemotherapy
GCST003225		phenotype	moderate/severe
GCST003227		background	non-glioblastoma
GCST003227		stratified	non-glioblastoma
GCST003229		phenotype	survival
GCST003229		survival	
GCST003230		phenotype	distant metastatic
GCST003230		survival stratified	distant metastatic
GCST003231		phenotype	non-distant metastatic
GCST003231		survival stratified	non-distant metastatic
GCST003232		side effect	pazopanib for cancer
GCST003232		treatment side effect	cancer - pazopanib (liver injury)
GCST003233		biomarker	thrombin-antithrombin complex levels
GCST003234		biomarker	thrombomodulin levels
GCST003235		biomarker	prothrombin fragments f1+2 levels
GCST003236		biomarker	omega-6 pufa (arachidonic acid)
GCST003237		biomarker	omega-6 pufa (dihomo-gamma-linolenic acid)
GCST003238		biomarker	omega-6 pufa (gamma-linolenic acid)
GCST003239		biomarker	omega-6 pufa (linoleic acid)
GCST003240		biomarker	omega-3 pufa (docosahexaenoic acid)
GCST003241		biomarker	omega-3 pufa (eicosapentaenoic acid)
GCST003242		biomarker	omega-3 pufa (alphalinolenic acid)
GCST003243		biomarker	delta-5 desaturase activity
GCST003244		biomarker	delta-6 desaturase activity
GCST003245		biomarker	white matter hyperintensities
GCST003246	C563236	background	testicular germ cell tumor
GCST003246	C563236	stratified	testicular germ cell tumor
GCST003247	C563236	background	testicular germ cell tumor
GCST003247	C563236	stratified	testicular germ cell tumor
GCST003250		biomarker	urinary albumin-to-creatinine ratio
GCST003251		phenotype	late onset
GCST003253		phenotype	microalbuminuria
GCST003254		background, biomarker	non-diabetics, urinary albumin to creatinine ratio
GCST003255		biomarker	urinary albumin to creatinine ratio
GCST003256		background, phenotype	joint damage progression in acpa-negative rheumatoid arthritis
GCST003257		phenotype	cardioembolic ischemic stroke
GCST003259		phenotype	large artery atherosclerosis
GCST003260		phenotype	small artery occlusion
GCST003262		response	post-bronchodilator fev1
GCST003263		response	post-bronchodilator fev1
GCST003264		response	bronchodilator, fev1/fvc ratio
GCST003265		response	bronchodilator, fev1/fvc ratio
GCST003266		background, phenotype	pre-bronchodilator, fev1
GCST003267		phenotype	fev1/fec ratio
GCST003269		phenotype	cutaneous
GCST003271		phenotype	cutaneous psoriasis
GCST003274		phenotype	pulse pressure
GCST003275		phenotype	mean arterial pressure
GCST003298		background, biomarker	nt-probnp in acute coronary syndrome
GCST003299		background	childhood cancer survivors
GCST003300		side effect, interaction	anthracycline for childhood cancer
GCST003301		biomarker	triglyceride
GCST003302		biomarker	total cholesterol
GCST003303		biomarker	ldl
GCST003304		biomarker	hdl
GCST003318		phenotype	sporadic
GCST003319		interaction	stressful life events
GCST003321		phenotype	small vessel stroke
GCST003322		phenotype	large artery atherosclerosis
GCST003323		phenotype	cardioembolic ischemic stroke
GCST003327		stratified	cutaneous
GCST003328		response, phenotype	carboplatin and paclitaxel, serous epithelial ovarian cancer
GCST003329		response	anti-tnf therapy
GCST003330		phenotype	seropositive for rheumatoid factor
GCST003332	C531617	phenotype	rapid functional decline
GCST003333	C531617	phenotype	moderate functional decline
GCST003334		phenotype	length of menstrual cycle
GCST003336			bmi adjusted
GCST003338			bmi adjusted
GCST003339		response	igg levels, anti-epstein barr virus nuclear antigen 1
GCST003340		pleiotropy	igg levels, anti-epstein barr virus nuclear antigen 1
GCST003341		response, phenotype	antipsychotic drug dosage, schizophrenia or schizoaffective disorder
GCST003343		phenotype	low intraocular pressure
GCST003344		phenotype	high intraocular pressure
GCST003358		background, biomarker	betaine in cardiac evaluation
GCST003359		biomarker	uric acid
GCST003361		biomarker	ldl
GCST003362		biomarker	phospholipid
GCST003363		biomarker	hdl
GCST003364		biomarker	triglyceride
GCST003365		interaction	cigarette smoking
GCST003366		interaction	cigarette smoking
GCST003367		biomarker	leptin
GCST003368		background, biomarker	bmi adjusted, leptin levels
GCST003369		phenotype	factor score
GCST003371		biomarker	glomerular filtration rate (creatinine)
GCST003372		biomarker	glomerular filtration rate (creatinine)
GCST003373		background, biomarker	glomerular filtration rate in diabetics (creatinine)
GCST003375		biomarker	glomerular filtration rate (cystatin c)
GCST003376		phenotype	nicotine metabolite ratio
GCST003378		response	lithium treatment
GCST003379		phenotype	hip bmd
GCST003380		phenotype	spine bmd
GCST003381		background	femoral neck
GCST003385		interaction	menopausal hormone therapy
GCST003386		interaction	oestrogen-progestogen hormone therapy
GCST003386		interaction or exposure	estrogen plus progestogen therapy
GCST003387		interaction	oestrogen hormone therapy
GCST003388		phenotype	spine bmd
GCST003389		phenotype	hip bmd
GCST003391		biomarker	hdl
GCST003392		phenotype	parental longevity
GCST003393		phenotype	parental longevity
GCST003394		phenotype	parental longevity
GCST003395		phenotype	parental longevity
GCST003397		phenotype	linguistic errors
GCST003398		phenotype	syntactic complexity
GCST003399		interaction	brain beta-amyloid deposition
GCST003401		background, biomarker	glomerular filtration rate in non diabetics (creatinine)
GCST003403		biomarker	vegfa
GCST003418		biomarker	skin fluorescence in type 1 diabetes
GCST003419		phenotype	left-sided heart lesions
GCST003421		phenotype	mosaic loss of chromosome y
GCST003422		stratified	cutaneous
GCST003423		phenotype	small vessel stroke
GCST003426		side effect	flupertine
GCST003427		phenotype	age of onset
GCST003429		phenotype	morning vs. evening chronotype
GCST003432		response	risperidone
GCST003433		biomarker	lycopene
GCST003435		phenotype	body fat percentage
GCST003437		background	monozygotic twins
GCST003438		side effect	bortezomib for multiple myeloma
GCST003439		response	paclitaxel
GCST003439		treatment response	paclitaxel
GCST003440		response	carboplatin
GCST003440		treatment response	carboplatin
GCST003441		response	paclitaxel
GCST003441		treatment response	paclitaxel
GCST003442		response	carboplatin
GCST003443		response	carboplatin and paclitaxel
GCST003443		treatment response	carboplatin and paclitaxel
GCST003444		response	carboplatin and paclitaxel
GCST003444		treatment response	carboplatin and paclitaxel
GCST003445		response	cyclophosphamide
GCST003448		background	never smokers
GCST003450		side effect	clozapine for treatment-resistant schizophrenia
GCST003451		phenotype	age of onset
GCST003452		phenotype	posterior cortical atrophy
GCST003454		phenotype	morning vs. evening chronotype
GCST003455		interaction, phenotype	joint analysis main effects and education, spherical equivalent
GCST003456		side effect	dabrafenib-trametinib for melanoma
GCST003457		biomarker	advanced glycation end-product
GCST003460		response	igg1 response to plasmodium falciparum antigen (glurp)
GCST003461		response	igg response to plasmodium falciparum antigens (glurp, msp2 fc27, msp2 3d7)
GCST003462		response	igg1 response to plasmodium falciparum antigen (msp1)
GCST003463		response	igg3 response to plasmodium falciparum antigen (msp2 3d7)
GCST003464		response	igg3 response to plasmodium falciparum antigen (msp2 fc27)
GCST003466		background, biomarker	cotinine
GCST003469		response	cognitive-behavioural therapy
GCST003472		biomarker	oppositional defiant disorder dimensions
GCST003473		background	attention deficit hyperactivity disorder
GCST003474		phenotype	scalp hair shape
GCST003475		phenotype	beard thickness
GCST003476		phenotype	eyebrow thickness
GCST003477		phenotype	monobrow thickness
GCST003478		phenotype	hair greying
GCST003479		phenotype	hair color
GCST003481		phenotype	sleep latency
GCST003482		phenotype	childhood onset
GCST003483		biomarker	s-phenylmercapturic acid levels
GCST003484		phenotype	related phenotypes
GCST003485		response, biomarker	fenofibrate, hdl
GCST003486		response, biomarker	fenofibrate, ldl
GCST003487		response, biomarker	fenofibrate, total cholesterol
GCST003488		response, biomarker	fenofibrate, triglyceride
GCST003489		phenotype	food addiction
GCST003490		phenotype	cardioembolic ischemic stroke
GCST003493		phenotype	non-cardioembolic
GCST003497		phenotype	memory performance
GCST003498		phenotype	reasoning
GCST003500		side effect	peg-asparaginase for acute lymphoblastic leukemia
GCST003501		side effect	peg-asparaginase for acute lymphoblastic leukemia
GCST003518		phenotype	daytime rest
GCST003523		biomarker	coenzyme q10
GCST003526		side effect	non-chemotherapy drug
GCST003527		side effect	anti-thyroid drug
GCST003538		phenotype	symptom count
GCST003539		phenotype	mortality
GCST003540		biomarker	alkaline phosphatase
GCST003540		biomarker	bilirubin
GCST003540		biomarker	calcium level
GCST003540		biomarker	erythrocyte
GCST003540		biomarker	glucose
GCST003540		biomarker	hemoglobin
GCST003540		biomarker	mean corpuscular hemoglobin
GCST003541		phenotype	survival
GCST003541		survival	
GCST003542		phenotype	night sleep phenotypes
GCST003542		phenotype	nighttime rest
GCST003542		phenotype	sleep latency
GCST003542		phenotype	sleep quality
GCST003559		phenotype	hip bmd
GCST003560		background	kawasaki disease
GCST003563		phenotype	autoantibody against phospholipid
GCST003564			bmi adjusted
GCST003567		response, phenotype	inhaled corticosteroid, change in fev1
GCST003579		side effect	antipsychotic for schizophrenia
GCST003580		side effect	anti-thyroid drug
GCST003581		side effect, phenotype	radiotherapy for prostate cancer, decreased urine stream
GCST003581		treatment side effect	prostate cancer - radiotherapy (toxicity, decreased urine stream)
GCST003582		side effect, phenotype	radiotherapy for prostate cancer, urinary frequency
GCST003582		treatment side effect	prostate cancer - radiotherapy (toxicity, urinary frequency)
GCST003583		side effect	radiotherapy for prostate cancer
GCST003583		treatment side effect	prostate cancer - radiotherapy (overall toxicity)
GCST003584		side effect, phenotype	radiotherapy for prostate cancer, rectal bleeding
GCST003584		treatment side effect	prostate cancer - radiotherapy (toxicity, rectal bleeding)
GCST003585		phenotype	aggressiveness
