Disease_Trait	MeshId	MeshTerm
body mass index and coronary artery disease (pairwise)	D015992	Body Mass Index
body mass index and diastolic blood pressure (bivariate analysis)	D015992	Body Mass Index
body mass index and fasting glucose (pairwise)	D015992	Body Mass Index
body mass index and fasting insulin (pairwise)	D015992	Body Mass Index
body mass index and fat mass	D015992	Body Mass Index
body mass index and hdl-c (pairwise)	D015992	Body Mass Index
body mass index and ldl-c (pairwise)	D015992	Body Mass Index
body mass index and systole blood pressure (pairwise)	D006973	Hypertension
body mass index and systolic blood pressure (bivariate analysis)	D006973	Hypertension
body mass index and triglycerides (pairwise)	D015992	Body Mass Index
body mass index and type 2 diabetes (pairwise)	D015992	Body Mass Index
body mass index and waist-hip ratio (pleiotropy)	D049629	Waist-Hip Ratio
body mass index (change over time)	D009765	Obesity
body mass index (change over time) in cancer	D019282	Wasting Syndrome
body mass index (change over time) in cancer or chronic obstructive pulmonary disease	D019282	Wasting Syndrome
body mass index (change over time) in chronic obstructive pulmonary disease	D009765	Obesity
body mass index (change over time) in gastrointestinal cancer	D019282	Wasting Syndrome
body mass index (change over time) in gastrointestinal cancer or chronic obstructive pulmonary disease	D019282	Wasting Syndrome
body mass index (change over time) in lung cancer	D019282	Wasting Syndrome
body mass index (change over time) in lung cancer or chronic obstructive pulmonary disease	D019282	Wasting Syndrome
body mass index	D015992	Body Mass Index
body mass index (dietary energy interaction)	D009765	Obesity
body mass index (education interaction)	D015992	Body Mass Index
body mass index (ever vs never smoking interaction)	D009765	Obesity
body mass index in asthmatics	D015992	Body Mass Index
body mass index in non-asthmatics	D015992	Body Mass Index
body mass index in physically active individuals	D009765	Obesity
body mass index in physically inactive individuals	D009765	Obesity
body mass index (joint analysis main effects and physical activity interaction)	D009765	Obesity
body mass index (joint analysis main effects and smoking interaction)	D016540	Smoking Cessation
body mass index (physical activity interaction)	D015444	Exercise
body mass index (recreational physical activity interaction)	D009765	Obesity
body mass index (sex interaction)	D049628	Body Size
body mass index  (smoking years interaction)	D009765	Obesity
body mass index (snp x snp interaction)	D015992	Body Mass Index
body mass index variance	D015992	Body Mass Index
body mass index x age interaction	D015992	Body Mass Index
body mass index x sex interaction	D049628	Body Size
body mass index x sex x age interaction (4df test)	D000367	Age Factors
body mass index x sex x age interaction	D015992	Body Mass Index
body mass (lean)	D013851	Thinness
body morphological traits (multivariate analysis)	D015992	Body Mass Index
body shape index	D055105	Waist Circumference
body surface area-indexed left ventricular end-diastolic volume	D006331	Heart Diseases
body surface area-indexed left ventricular end-systolic volume	D006331	Heart Diseases
body weight	D001835	Body Weight
body weights and measures	D001837	Body Weights and Measures
bone density	D015519	Bone Density
bone density traits (multivariate analysis)	D015519	Bone Density
bone erosion in rheumatoid arthritis	D001172	Arthritis, Rheumatoid
bone fracture in osteoporosis	D050723	Fractures, Bone
bone mineral accretion in asthma (oral corticosteroid dose interaction)	D018488	Bone Demineralization, Pathologic
bone mineral content	D015519	Bone Density
bone mineral density change response to combined chemotherapy in acute lymphoblastic leukemia	D020127	Recovery of Function
bone mineral density	D015519	Bone Density
bone mineral density (femoral neck)	D010024	Osteoporosis
bone mineral density (femoral neck) in inflammatory bowel disease	D015212	Inflammatory Bowel Diseases
bone mineral density (hip) and age at menarche	D010024	Osteoporosis
bone mineral density (hip) and hip bone size	D001847	Bone Diseases
bone mineral density (hip)	D010024	Osteoporosis
bone mineral density (lumbar spine) in inflammatory bowel disease	D015212	Inflammatory Bowel Diseases
bone mineral density or leg lean mass (pleiotropy)	D015519	Bone Density
bone mineral density or trunk lean mass (pleiotropy)	D015519	Bone Density
bone mineral density (paediatric, lower limb)	D015519	Bone Density
bone mineral density (paediatric, skull)	D015519	Bone Density
bone mineral density (paediatric, total body less head)	D015519	Bone Density
bone mineral density (paediatric, upper limb)	D015519	Bone Density
bone mineral density (sex interaction)	D015519	Bone Density
bone mineral density (spine) and age at menarche	D011628	Puberty, Delayed
bone mineral density (spine)	D010024	Osteoporosis
bone mineral density (total hip)	D010024	Osteoporosis
bone mineral density (ward's triangle area)	D010024	Osteoporosis
bone mineral density (wrist)	D018488	Bone Demineralization, Pathologic
bone mineral density x blood lead interaction in current smokers (1df test)	D016540	Smoking Cessation
bone mineral density x blood lead interaction in current smokers (2df test)	D016540	Smoking Cessation
bone morphogenetic protein 6 levels	D055418	Bone Morphogenetic Protein 6
bone properties (heel)	D010024	Osteoporosis
bone ultrasound measurement (broadband ultrasound attenuation)	D010024	Osteoporosis
bone ultrasound measurement (velocity of sound)	D010024	Osteoporosis
borderline personality disorder	D001883	Borderline Personality Disorder
borderline personality disorder features	D001883	Borderline Personality Disorder
bortezomib-induced peripheral neuropathy in multiple myeloma	D010523	Peripheral Nervous System Diseases
braces	D001915	Braces
brachial circumference	D050197	Atherosclerosis
brain activation in response to working memory task	D008570	Memory, Short-Term
brain age (difference between predicted and chronological age)	D001921	Brain
brain arteriovenous malformations (sporadic)	D002538	Intracranial Arteriovenous Malformations
brain asymmetrical skew (horizontal)	D059906	Neuroimaging
brain asymmetrical skew (vertical)	D059906	Neuroimaging
brain connectivity	D009461	Neurologic Manifestations
brain cytoarchitecture	D009461	Neurologic Manifestations
brain-derived neurotrophic factor levels	D007839	Functional Laterality
brain development	D002508	Cephalometry
brain glucose metabolism (fluorodeoxyglucose uptake)	D044882	Glucose Metabolism Disorders
brain imaging	D059906	Neuroimaging
brain imaging in schizophrenia (dorsolateral prefrontal cortex interaction)	D012559	Schizophrenia
brain imaging measurements	D059906	Neuroimaging
brain imaging measurements (mean)	D059906	Neuroimaging
brain imaging measurements (variance)	D059906	Neuroimaging
brain infarct	D020520	Brain Infarction
brain infarction	D020520	Brain Infarction
brain lesion load	D009103	Multiple Sclerosis
brain morphology (min-p)	D056784	Leukoencephalopathies
brain morphology (mostest)	D056784	Leukoencephalopathies
brain region volumes	D009461	Neurologic Manifestations
brain shape (segment 100)	D009461	Neurologic Manifestations
brain shape (segment 101)	D009461	Neurologic Manifestations
brain shape (segment 102)	D009461	Neurologic Manifestations
brain shape (segment 103)	D009461	Neurologic Manifestations
brain shape (segment 104)	D009461	Neurologic Manifestations
brain shape (segment 105)	D009461	Neurologic Manifestations
brain shape (segment 106)	D009461	Neurologic Manifestations
brain shape (segment 107)	D009461	Neurologic Manifestations
brain shape (segment 108)	D009461	Neurologic Manifestations
brain shape (segment 109)	D009461	Neurologic Manifestations
brain shape (segment 10)	D009461	Neurologic Manifestations
brain shape (segment 110)	D009461	Neurologic Manifestations
brain shape (segment 111)	D009461	Neurologic Manifestations
brain shape (segment 112)	D009461	Neurologic Manifestations
brain shape (segment 113)	D009461	Neurologic Manifestations
brain shape (segment 114)	D009461	Neurologic Manifestations
brain shape (segment 115)	D009461	Neurologic Manifestations
brain shape (segment 116)	D009461	Neurologic Manifestations
brain shape (segment 117)	D009461	Neurologic Manifestations
brain shape (segment 118)	D009461	Neurologic Manifestations
brain shape (segment 119)	D009461	Neurologic Manifestations
brain shape (segment 11)	D009461	Neurologic Manifestations
brain shape (segment 120)	D009461	Neurologic Manifestations
brain shape (segment 121)	D009461	Neurologic Manifestations
brain shape (segment 122)	D009461	Neurologic Manifestations
brain shape (segment 123)	D009461	Neurologic Manifestations
brain shape (segment 124)	D009461	Neurologic Manifestations
brain shape (segment 125)	D009461	Neurologic Manifestations
brain shape (segment 126)	D009461	Neurologic Manifestations
brain shape (segment 127)	D009461	Neurologic Manifestations
brain shape (segment 128)	D009461	Neurologic Manifestations
brain shape (segment 129)	D009461	Neurologic Manifestations
brain shape (segment 12)	D009461	Neurologic Manifestations
brain shape (segment 130)	D009461	Neurologic Manifestations
brain shape (segment 131)	D009461	Neurologic Manifestations
brain shape (segment 132)	D009461	Neurologic Manifestations
brain shape (segment 133)	D009461	Neurologic Manifestations
brain shape (segment 134)	D009461	Neurologic Manifestations
brain shape (segment 135)	D009461	Neurologic Manifestations
brain shape (segment 136)	D009461	Neurologic Manifestations
brain shape (segment 137)	D009461	Neurologic Manifestations
brain shape (segment 138)	D009461	Neurologic Manifestations
brain shape (segment 139)	D009461	Neurologic Manifestations
brain shape (segment 13)	D009461	Neurologic Manifestations
brain shape (segment 140)	D009461	Neurologic Manifestations
brain shape (segment 141)	D009461	Neurologic Manifestations
brain shape (segment 142)	D009461	Neurologic Manifestations
brain shape (segment 143)	D009461	Neurologic Manifestations
brain shape (segment 144)	D009461	Neurologic Manifestations
brain shape (segment 145)	D009461	Neurologic Manifestations
brain shape (segment 146)	D009461	Neurologic Manifestations
brain shape (segment 147)	D009461	Neurologic Manifestations
brain shape (segment 148)	D009461	Neurologic Manifestations
brain shape (segment 149)	D009461	Neurologic Manifestations
brain shape (segment 14)	D009461	Neurologic Manifestations
brain shape (segment 150)	D009461	Neurologic Manifestations
brain shape (segment 151)	D009461	Neurologic Manifestations
brain shape (segment 152)	D009461	Neurologic Manifestations
brain shape (segment 153)	D009461	Neurologic Manifestations
brain shape (segment 154)	D009461	Neurologic Manifestations
brain shape (segment 155)	D009461	Neurologic Manifestations
brain shape (segment 156)	D009461	Neurologic Manifestations
brain shape (segment 157)	D009461	Neurologic Manifestations
brain shape (segment 158)	D009461	Neurologic Manifestations
brain shape (segment 159)	D009461	Neurologic Manifestations
brain shape (segment 15)	D009461	Neurologic Manifestations
brain shape (segment 160)	D009461	Neurologic Manifestations
brain shape (segment 161)	D009461	Neurologic Manifestations
brain shape (segment 162)	D009461	Neurologic Manifestations
brain shape (segment 163)	D009461	Neurologic Manifestations
brain shape (segment 164)	D009461	Neurologic Manifestations
brain shape (segment 165)	D009461	Neurologic Manifestations
brain shape (segment 166)	D009461	Neurologic Manifestations
brain shape (segment 167)	D009461	Neurologic Manifestations
brain shape (segment 168)	D009461	Neurologic Manifestations
brain shape (segment 169)	D009461	Neurologic Manifestations
brain shape (segment 16)	D009461	Neurologic Manifestations
brain shape (segment 170)	D009461	Neurologic Manifestations
brain shape (segment 171)	D009461	Neurologic Manifestations
brain shape (segment 172)	D009461	Neurologic Manifestations
brain shape (segment 173)	D009461	Neurologic Manifestations
brain shape (segment 174)	D009461	Neurologic Manifestations
brain shape (segment 175)	D009461	Neurologic Manifestations
brain shape (segment 176)	D009461	Neurologic Manifestations
brain shape (segment 177)	D009461	Neurologic Manifestations
brain shape (segment 178)	D009461	Neurologic Manifestations
brain shape (segment 179)	D009461	Neurologic Manifestations
brain shape (segment 17)	D009461	Neurologic Manifestations
brain shape (segment 180)	D009461	Neurologic Manifestations
brain shape (segment 181)	D009461	Neurologic Manifestations
brain shape (segment 182)	D009461	Neurologic Manifestations
brain shape (segment 183)	D009461	Neurologic Manifestations
brain shape (segment 184)	D009461	Neurologic Manifestations
brain shape (segment 185)	D009461	Neurologic Manifestations
brain shape (segment 186)	D009461	Neurologic Manifestations
brain shape (segment 187)	D009461	Neurologic Manifestations
brain shape (segment 188)	D009461	Neurologic Manifestations
brain shape (segment 189)	D009461	Neurologic Manifestations
brain shape (segment 18)	D009461	Neurologic Manifestations
brain shape (segment 190)	D009461	Neurologic Manifestations
brain shape (segment 191)	D009461	Neurologic Manifestations
brain shape (segment 192)	D009461	Neurologic Manifestations
brain shape (segment 193)	D009461	Neurologic Manifestations
brain shape (segment 194)	D009461	Neurologic Manifestations
brain shape (segment 195)	D009461	Neurologic Manifestations
brain shape (segment 196)	D009461	Neurologic Manifestations
brain shape (segment 197)	D009461	Neurologic Manifestations
brain shape (segment 198)	D009461	Neurologic Manifestations
brain shape (segment 199)	D009461	Neurologic Manifestations
brain shape (segment 19)	D009461	Neurologic Manifestations
brain shape (segment 1)	D009461	Neurologic Manifestations
brain shape (segment 200)	D009461	Neurologic Manifestations
brain shape (segment 201)	D009461	Neurologic Manifestations
brain shape (segment 202)	D009461	Neurologic Manifestations
brain shape (segment 203)	D009461	Neurologic Manifestations
brain shape (segment 204)	D009461	Neurologic Manifestations
brain shape (segment 205)	D009461	Neurologic Manifestations
brain shape (segment 206)	D009461	Neurologic Manifestations
brain shape (segment 207)	D009461	Neurologic Manifestations
brain shape (segment 208)	D009461	Neurologic Manifestations
brain shape (segment 209)	D009461	Neurologic Manifestations
brain shape (segment 20)	D009461	Neurologic Manifestations
brain shape (segment 210)	D009461	Neurologic Manifestations
brain shape (segment 211)	D009461	Neurologic Manifestations
brain shape (segment 212)	D009461	Neurologic Manifestations
brain shape (segment 213)	D009461	Neurologic Manifestations
brain shape (segment 214)	D009461	Neurologic Manifestations
brain shape (segment 215)	D009461	Neurologic Manifestations
brain shape (segment 216)	D009461	Neurologic Manifestations
brain shape (segment 217)	D009461	Neurologic Manifestations
brain shape (segment 218)	D009461	Neurologic Manifestations
brain shape (segment 219)	D009461	Neurologic Manifestations
brain shape (segment 21)	D009461	Neurologic Manifestations
brain shape (segment 220)	D009461	Neurologic Manifestations
brain shape (segment 221)	D009461	Neurologic Manifestations
brain shape (segment 222)	D009461	Neurologic Manifestations
brain shape (segment 223)	D009461	Neurologic Manifestations
brain shape (segment 224)	D009461	Neurologic Manifestations
brain shape (segment 225)	D009461	Neurologic Manifestations
brain shape (segment 226)	D009461	Neurologic Manifestations
brain shape (segment 227)	D009461	Neurologic Manifestations
brain shape (segment 228)	D009461	Neurologic Manifestations
brain shape (segment 229)	D009461	Neurologic Manifestations
brain shape (segment 22)	D009461	Neurologic Manifestations
brain shape (segment 230)	D009461	Neurologic Manifestations
brain shape (segment 231)	D009461	Neurologic Manifestations
brain shape (segment 232)	D009461	Neurologic Manifestations
brain shape (segment 233)	D009461	Neurologic Manifestations
brain shape (segment 234)	D009461	Neurologic Manifestations
brain shape (segment 235)	D009461	Neurologic Manifestations
brain shape (segment 236)	D009461	Neurologic Manifestations
brain shape (segment 237)	D009461	Neurologic Manifestations
brain shape (segment 238)	D009461	Neurologic Manifestations
brain shape (segment 239)	D009461	Neurologic Manifestations
brain shape (segment 23)	D009461	Neurologic Manifestations
brain shape (segment 240)	D009461	Neurologic Manifestations
brain shape (segment 241)	D009461	Neurologic Manifestations
brain shape (segment 242)	D009461	Neurologic Manifestations
brain shape (segment 243)	D009461	Neurologic Manifestations
brain shape (segment 244)	D009461	Neurologic Manifestations
brain shape (segment 245)	D009461	Neurologic Manifestations
brain shape (segment 246)	D009461	Neurologic Manifestations
brain shape (segment 247)	D009461	Neurologic Manifestations
brain shape (segment 248)	D009461	Neurologic Manifestations
brain shape (segment 249)	D009461	Neurologic Manifestations
brain shape (segment 24)	D009461	Neurologic Manifestations
brain shape (segment 250)	D009461	Neurologic Manifestations
brain shape (segment 251)	D009461	Neurologic Manifestations
brain shape (segment 252)	D009461	Neurologic Manifestations
brain shape (segment 253)	D009461	Neurologic Manifestations
brain shape (segment 254)	D009461	Neurologic Manifestations
brain shape (segment 255)	D009461	Neurologic Manifestations
brain shape (segment 256)	D009461	Neurologic Manifestations
brain shape (segment 257)	D009461	Neurologic Manifestations
brain shape (segment 258)	D009461	Neurologic Manifestations
brain shape (segment 259)	D009461	Neurologic Manifestations
brain shape (segment 25)	D009461	Neurologic Manifestations
brain shape (segment 260)	D009461	Neurologic Manifestations
brain shape (segment 261)	D009461	Neurologic Manifestations
brain shape (segment 262)	D009461	Neurologic Manifestations
brain shape (segment 263)	D009461	Neurologic Manifestations
brain shape (segment 264)	D009461	Neurologic Manifestations
brain shape (segment 265)	D009461	Neurologic Manifestations
brain shape (segment 266)	D009461	Neurologic Manifestations
brain shape (segment 267)	D009461	Neurologic Manifestations
brain shape (segment 268)	D009461	Neurologic Manifestations
brain shape (segment 269)	D009461	Neurologic Manifestations
brain shape (segment 26)	D009461	Neurologic Manifestations
brain shape (segment 270)	D009461	Neurologic Manifestations
brain shape (segment 271)	D009461	Neurologic Manifestations
brain shape (segment 272)	D009461	Neurologic Manifestations
brain shape (segment 273)	D009461	Neurologic Manifestations
brain shape (segment 274)	D009461	Neurologic Manifestations
brain shape (segment 275)	D009461	Neurologic Manifestations
brain shape (segment 276)	D009461	Neurologic Manifestations
brain shape (segment 277)	D009461	Neurologic Manifestations
brain shape (segment 278)	D009461	Neurologic Manifestations
brain shape (segment 279)	D009461	Neurologic Manifestations
brain shape (segment 27)	D009461	Neurologic Manifestations
brain shape (segment 280)	D009461	Neurologic Manifestations
brain shape (segment 281)	D009461	Neurologic Manifestations
brain shape (segment 282)	D009461	Neurologic Manifestations
brain shape (segment 283)	D009461	Neurologic Manifestations
brain shape (segment 284)	D009461	Neurologic Manifestations
brain shape (segment 285)	D009461	Neurologic Manifestations
brain shape (segment 28)	D009461	Neurologic Manifestations
brain shape (segment 29)	D009461	Neurologic Manifestations
brain shape (segment 2)	D009461	Neurologic Manifestations
brain shape (segment 30)	D009461	Neurologic Manifestations
brain shape (segment 31)	D009461	Neurologic Manifestations
brain shape (segment 32)	D009461	Neurologic Manifestations
brain shape (segment 33)	D009461	Neurologic Manifestations
brain shape (segment 34)	D009461	Neurologic Manifestations
brain shape (segment 35)	D009461	Neurologic Manifestations
brain shape (segment 36)	D009461	Neurologic Manifestations
brain shape (segment 37)	D009461	Neurologic Manifestations
brain shape (segment 38)	D009461	Neurologic Manifestations
brain shape (segment 39)	D009461	Neurologic Manifestations
brain shape (segment 3)	D009461	Neurologic Manifestations
brain shape (segment 40)	D009461	Neurologic Manifestations
brain shape (segment 41)	D009461	Neurologic Manifestations
brain shape (segment 42)	D009461	Neurologic Manifestations
brain shape (segment 43)	D009461	Neurologic Manifestations
brain shape (segment 44)	D009461	Neurologic Manifestations
brain shape (segment 45)	D009461	Neurologic Manifestations
brain shape (segment 46)	D009461	Neurologic Manifestations
brain shape (segment 47)	D009461	Neurologic Manifestations
brain shape (segment 48)	D009461	Neurologic Manifestations
brain shape (segment 49)	D009461	Neurologic Manifestations
brain shape (segment 4)	D009461	Neurologic Manifestations
brain shape (segment 50)	D009461	Neurologic Manifestations
brain shape (segment 51)	D009461	Neurologic Manifestations
brain shape (segment 52)	D009461	Neurologic Manifestations
brain shape (segment 53)	D009461	Neurologic Manifestations
brain shape (segment 54)	D009461	Neurologic Manifestations
brain shape (segment 55)	D009461	Neurologic Manifestations
brain shape (segment 56)	D009461	Neurologic Manifestations
brain shape (segment 57)	D009461	Neurologic Manifestations
brain shape (segment 58)	D009461	Neurologic Manifestations
brain shape (segment 59)	D009461	Neurologic Manifestations
brain shape (segment 5)	D009461	Neurologic Manifestations
brain shape (segment 60)	D009461	Neurologic Manifestations
brain shape (segment 61)	D009461	Neurologic Manifestations
brain shape (segment 62)	D009461	Neurologic Manifestations
brain shape (segment 63)	D009461	Neurologic Manifestations
brain shape (segment 64)	D009461	Neurologic Manifestations
brain shape (segment 65)	D009461	Neurologic Manifestations
brain shape (segment 66)	D009461	Neurologic Manifestations
brain shape (segment 67)	D009461	Neurologic Manifestations
brain shape (segment 68)	D009461	Neurologic Manifestations
brain shape (segment 69)	D009461	Neurologic Manifestations
brain shape (segment 6)	D009461	Neurologic Manifestations
brain shape (segment 70)	D009461	Neurologic Manifestations
brain shape (segment 71)	D009461	Neurologic Manifestations
brain shape (segment 72)	D009461	Neurologic Manifestations
brain shape (segment 73)	D009461	Neurologic Manifestations
brain shape (segment 74)	D009461	Neurologic Manifestations
brain shape (segment 75)	D009461	Neurologic Manifestations
brain shape (segment 76)	D009461	Neurologic Manifestations
brain shape (segment 77)	D009461	Neurologic Manifestations
brain shape (segment 78)	D009461	Neurologic Manifestations
brain shape (segment 79)	D009461	Neurologic Manifestations
brain shape (segment 7)	D009461	Neurologic Manifestations
brain shape (segment 80)	D009461	Neurologic Manifestations
brain shape (segment 81)	D009461	Neurologic Manifestations
brain shape (segment 82)	D009461	Neurologic Manifestations
brain shape (segment 83)	D009461	Neurologic Manifestations
brain shape (segment 84)	D009461	Neurologic Manifestations
brain shape (segment 85)	D009461	Neurologic Manifestations
brain shape (segment 86)	D009461	Neurologic Manifestations
brain shape (segment 87)	D009461	Neurologic Manifestations
brain shape (segment 88)	D009461	Neurologic Manifestations
brain shape (segment 89)	D009461	Neurologic Manifestations
brain shape (segment 8)	D009461	Neurologic Manifestations
brain shape (segment 90)	D009461	Neurologic Manifestations
brain shape (segment 91)	D009461	Neurologic Manifestations
brain shape (segment 92)	D009461	Neurologic Manifestations
brain shape (segment 93)	D009461	Neurologic Manifestations
brain shape (segment 94)	D009461	Neurologic Manifestations
brain shape (segment 95)	D009461	Neurologic Manifestations
brain shape (segment 96)	D009461	Neurologic Manifestations
brain shape (segment 97)	D009461	Neurologic Manifestations
brain shape (segment 98)	D009461	Neurologic Manifestations
brain shape (segment 99)	D009461	Neurologic Manifestations
brain shape (segment 9)	D009461	Neurologic Manifestations
brainstem global volume medulla	D059906	Neuroimaging
brainstem global volume midbrain	D059906	Neuroimaging
brainstem global volume pons	D059906	Neuroimaging
brainstem global volume scp	D059906	Neuroimaging
brainstem global volume whole-brainstem	D059906	Neuroimaging
brainstem volume	D009461	Neurologic Manifestations
brain structure	D009461	Neurologic Manifestations
brain structure (hippocampal volume)	D009461	Neurologic Manifestations
brain structure (temporal lobe volume)	D000544	Alzheimer Disease
brain structure volumes (multivariate analysis)	D009461	Neurologic Manifestations
brain volume in infants (cerebrospinal fluid)	D001921	Brain
brain volume in infants (grey matter)	D001921	Brain
brain volume in infants (intracranial brain volume)	D001921	Brain
brain volume in infants (white matter)	D001921	Brain
branched-chain amino acid levels (isoleucine)	D009765	Obesity
branched-chain amino acid levels (leucine)	D009765	Obesity
branched-chain amino acid levels (valine)	D009765	Obesity
brca1/2-negative high-risk breast cancer	D001943	Breast Neoplasms
brca1 mutation in breast cancer	D007839	Functional Laterality
brca1 mutation in healthy women	D007839	Functional Laterality
brca2 mutation in breast cancer	D007839	Functional Laterality
brca2 mutation in healthy women	D007839	Functional Laterality
breakfast cereal skipping frequency	D005247	Feeding Behavior
breakfast skipping	D005247	Feeding Behavior
breast cancer and/or colorectal cancer	D015179	Colorectal Neoplasms
breast cancer	D001943	Breast Neoplasms
breast cancer (early onset)	D001943	Breast Neoplasms
breast cancer (estrogen-receptor negative)	D001943	Breast Neoplasms
breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)	D064726	Triple Negative Breast Neoplasms
breast cancer (estrogen-receptor positive)	D001943	Breast Neoplasms
breast cancer-free interval (treatment with aromatase inhibitor)	D001943	Breast Neoplasms
breast cancer (her2 negative)	D001943	Breast Neoplasms
breast cancer (her2 positive)	D001943	Breast Neoplasms
breast cancer in brca1 mutation carriers	D001943	Breast Neoplasms
breast cancer in brca2 mutation carriers	D001943	Breast Neoplasms
breast cancer in childhood cancer survivors	D001943	Breast Neoplasms
breast cancer in childhood cancer survivors treated with less than 10 gray radiotherapy	D001943	Breast Neoplasms
breast cancer in childhood cancer survivors treated with more than 10 gray radiotherapy	D064420	Drug-Related Side Effects and Adverse Reactions
breast cancer (male)	D018567	Breast Neoplasms, Male
breast cancer (menopausal hormone therapy interaction)	D001943	Breast Neoplasms
breast cancer, ovarian cancer or prostate cancer (pleiotropy)	D001943	Breast Neoplasms
breast cancer (progesterone-receptor negative)	D001943	Breast Neoplasms
breast cancer (progesterone-receptor positive)	D001943	Breast Neoplasms
breast cancer (prognosis)	D001943	Breast Neoplasms
breast cancer somatic mutation signature aging	D001943	Breast Neoplasms
breast cancer somatic mutation signature apobec c>g	D001943	Breast Neoplasms
breast cancer somatic mutation signature apobec c>t	D001943	Breast Neoplasms
breast cancer somatic mutation signature apobec c>t or c>g	D001943	Breast Neoplasms
breast cancer somatic mutation signature homologous recombination deficiency	D001943	Breast Neoplasms
breast cancer specific mortality in breast cancer	D001943	Breast Neoplasms
breast cancer specific mortality in estrogen receptor negative breast cancer	D001943	Breast Neoplasms
breast cancer specific mortality in estrogen receptor positive breast cancer	D001943	Breast Neoplasms
breast cancer (survival)	D001943	Breast Neoplasms
breastfeeding duration	D001942	Breast Feeding
breast milk fatty acid composition (infant genotype effect)	D008895	Milk, Human
breast milk fatty acid composition (maternal genotype effect)	D008895	Milk, Human
breast size	D009929	Organ Size
breslow thickness in cutaneous melanoma	D008545	Melanoma
broad depression or bipolar disorder	D003866	Depressive Disorder
broad depression or major depressive disorder (recurrent)	D003866	Depressive Disorder
broad depression or major depressive disorder (self-reported)	D003866	Depressive Disorder
broad depression or schizophrenia	D003866	Depressive Disorder
bronchial hyperresponsiveness in asthma	D001249	Asthma
bronchial neuroendocrine tumor	D018358	Neuroendocrine Tumors
bronchiolitis	D001988	Bronchiolitis
bronchodilator response in asthma	D001249	Asthma
bronchodilator response in asthma (inhaled corticosteroid treatment interaction)	D020127	Recovery of Function
bronchopulmonary dysplasia	D001997	Bronchopulmonary Dysplasia
bronchopulmonary dysplasia in preterm infants	D047928	Premature Birth
brooding (response to stress)	D001523	Mental Disorders
brother of cdo levels	D042643	Vascular Endothelial Growth Factor D
brown vs. black hair color	D006200	Hair Color
brown vs. non-brown hair color	D006200	Hair Color
brow ridge morphology (partial least square model)	D008445	Maxillofacial Development
brow ridge morphology (principal component model)	D008445	Maxillofacial Development
brugada syndrome	D053840	Brugada Syndrome
brunt grade in nonalcoholic fatty liver disease	D065626	Non-alcoholic Fatty Liver Disease
brunt stage in nonalcoholic fatty liver disease	D065626	Non-alcoholic Fatty Liver Disease
b-type natriuretic peptide levels	D015415	Biomarkers
b-type natriuretic peptide to n-terminal pro b-type natriuretic peptide ratio	D009320	Atrial Natriuretic Factor
bulimia nervosa	D052018	Bulimia Nervosa
bullous pemphigoid	D010391	Pemphigoid, Bullous
burning and freckling	D008548	Melanosis
burning or tingling in extremities in charcot-marie-tooth disease type 1a	D002607	Charcot-Marie-Tooth Disease
buruli ulcer (age at onset)	D054312	Buruli Ulcer
buruli ulcer	D054312	Buruli Ulcer
butyrate (4:0) levels	D015415	Biomarkers
butyrylcarnitine levels	C427065	butyrylcarnitine
butyrylcholinesterase levels	D008659	Metabolic Diseases
c4b binding protein levels	D020246	Venous Thrombosis
c_actinobacteria abundance	C000648548	Coprococcus comes
cadherin-2 levels	D015820	Cadherins
cadherin-5 levels	C094954	cadherin 5
cadherin-related family member 5 levels	D042643	Vascular Endothelial Growth Factor D
cadmium levels	D014883	Water-Electrolyte Imbalance
café-au-lait macule number in neurofibromatosis type1	D019080	Cafe-au-Lait Spots
caffeine consumption	D004327	Drinking Behavior
caffeine consumption from coffee	D004327	Drinking Behavior
caffeine consumption from coffee or tea	D004327	Drinking Behavior
caffeine levels	D015415	Biomarkers
caffeine metabolism (plasma 1,3,7-trimethyluric acid level)	D008658	Inactivation, Metabolic
caffeine metabolism (plasma 1,3,7-trimethylxanthine (caffeine) level)	D008658	Inactivation, Metabolic
caffeine metabolism (plasma 1,3-dimethylxanthine (theophylline) level)	D008658	Inactivation, Metabolic
caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) level)	D008658	Inactivation, Metabolic
caffeine metabolism (plasma 1,7-dimethylxanthine (paraxanthine) to 1,3,7-trimethylxanthine (caffeine) ratio)	D008658	Inactivation, Metabolic
caffeine metabolism (plasma 3,7-dimethylxanthine (theobromine) level)	D008658	Inactivation, Metabolic
calcaneal bone ultrasound measurement (speed of sound)	D018488	Bone Demineralization, Pathologic
calcaneus stiffness index	D018488	Bone Demineralization, Pathologic
calcific aortic valve stenosis	D001017	Aortic Coarctation
calcium levels	D002128	Calcium Metabolism Disorders
calf circumference	D001837	Body Weights and Measures
california verbal learning test score	D065852	Spatial Memory
callous-unemotional behaviour	D010554	Personality Disorders
c_alphaproteobacteria abundance	C000648548	Coprococcus comes
c_alphaproteobacteria prevalence	C000648548	Coprococcus comes
calsyntenin-2 levels	D042643	Vascular Endothelial Growth Factor D
cancer	D009369	Neoplasms
cancer (pleiotropy)(bidirectional)	D009369	Neoplasms
cancer (pleiotropy)	D009369	Neoplasms
candidemia	D058387	Candidemia
cannabis dependence	D002189	Marijuana Abuse
